,y
1996,219000
1997,560000
1998,205000
1999,180000
2000,930000
2001,825000
2002,419000
2003,1190000
2004,338000
2005,249000
2006,485000
2007,485000
2008,295000
2009,683000
2010,298000
2011,1400000
2012,569000
2013,333000
2014,85000
2015,160000
2016,679000
2017,635000
2018,223000
2019,180000
2020,990000
2021,763000
2022,260000
2023,365000
2024,165000
2025,370000
2026,595000
2027,1050000
2028,595000
2029,570000
2030,253000
2031,535000
2032,350000
2033,220000
2034,420000
2035,420000
2036,469000
2037,350000
2038,750000
2039,1045000
2040,540000
2041,450000
2042,199000
2043,780000
2044,215000
2045,287000
2046,395000
2047,1480000
2048,139000
2049,205000
2050,620000
2051,310000
2052,315000
2053,1730000
2054,520000
2055,188000
2056,399000
2057,620000
2058,249000
2059,395000
2060,750000
2061,520000
2062,439000
2063,750000
2064,118000
2065,248000
2066,398000
2067,315000
2068,330000
2069,649982
2070,1000000
2071,410000
2072,850000
2073,205000
2074,550000
2075,695000
2076,290000
2077,289000
2078,389000
2079,580000
2080,510000
2081,310000
2082,609000
2083,355000
2084,749000
2085,450000
2086,323000
2087,445000
2088,934000
2089,853000
2090,195000
2091,210000
2092,1150000
2093,295000
2094,1290000
2095,720000
2096,1180000
2097,427000
2098,389000
2099,510000
2100,149000
2101,190000
2102,289000
2103,1295000
2104,375000
2105,247000
2106,295000
2107,520000
2108,249000
2109,295000
2110,2080000
2111,450000
2112,335000
2113,550000
2114,598000
2115,550000
2116,295000
2117,550000
2118,359000
2119,1635300
2120,195000
2121,320000
2122,500000
2123,565000
2124,299000
2125,198000
2126,560000
2127,570000
2128,780000
2129,349000
2130,450000
2131,540000
2132,139000
2133,1300000
2134,553000
2135,910000
2136,350000
2137,430000
2138,269000
2139,255000
2140,230000
2141,280000
2142,278000
2143,149000
2144,236000
2145,359000
2146,199000
2147,399000
2148,265000
2149,435000
2150,465000
2151,225000
2152,690000
2153,330000
2154,192000
2155,268000
2156,755000
2157,360000
2158,450000
2159,215000
2160,340000
2161,930000
2162,1950000
2163,380000
2164,410000
2165,295000
2166,745000
2167,260000
2168,275000
2169,1967000
2170,160000
2171,135000
2172,320000
2173,1790000
2174,235000
2175,1600000
2176,205000
2177,270000
2178,1150000
2179,502000
2180,569000
2181,290000
2182,370000
2183,289000
2184,150000
2185,299000
2186,200000
2187,590000
2188,680000
2189,170000
2190,540000
2191,1020000
2192,790000
2193,730000
2194,357000
2195,658000
2196,745000
2197,359000
2198,227000
2199,395000
2200,2350000
2201,590000
2202,611000
2203,780000
2204,320000
2205,163000
2206,460000
2207,695000
2208,285000
2209,382000
2210,255000
2211,320000
2212,199000
2213,531000
2214,900000
2215,245000
2216,1900000
2217,285000
2218,270000
2219,301000
2220,279000
2221,830000
2222,512000
2223,189000
2224,1213000
2225,225000
2226,1450000
2227,460000
2228,590000
2229,397000
2230,499000
2231,359000
2232,450000
2233,581000
2234,165000
2235,445000
2236,750000
2237,295000
2238,671000
2239,235000
2240,180000
2241,800000
2242,1310000
2243,897000
2244,399000
2245,525000
2246,358000
2247,350000
2248,640000
2249,775000
2250,390000
2251,290000
2252,297000
2253,360000
2254,475000
2255,970000
2256,800000
2257,229000
2258,263000
2259,336000
2260,1131000
2261,1148000
2262,299000
2263,128000
2264,890000
2265,175000
2266,218000
2267,385000
2268,1450000
2269,298000
2270,299000
2271,150000
2272,149000
2273,204000
2274,290000
2275,255000
2276,259000
2277,240000
2278,310000
2279,545000
2280,125000
2281,228000
2282,209000
2283,775000
2284,378000
2285,395000
2286,650000
2287,170000
2288,895000
2289,350000
2290,350000
2291,780000
2292,390000
2293,239000
2294,1450000
2295,270000
2296,325000
2297,320000
2298,990000
2299,380000
2300,145000
2301,310000
2302,370000
2303,339000
2304,1050000
2305,469000
2306,549000
2307,795000
2308,1400000
2309,590000
2310,426000
2311,349000
2312,370000
2313,2295000
2314,390000
2315,188000
2316,467000
2317,425000
2318,815000
2319,174000
2320,330000
2321,449000
2322,545000
2323,192000
2324,560000
2325,1195000
2326,189000
2327,420000
2328,178000
2329,499000
2330,238000
2331,347000
2332,395000
2333,318000
2334,400000
2335,435000
2336,780000
2337,189000
2338,1340000
2339,299000
2340,745000
2341,215000
2342,416000
2343,825000
2344,345000
2345,689000
2346,626000
2347,295000
2348,178000
2349,199000
2350,340000
2351,339000
2352,449000
2353,318000
2354,540000
2355,422400
2356,470000
2357,425000
2358,220000
2359,585000
2360,255000
2361,298000
2362,455000
2363,329000
2364,1430000
2365,225000
2366,1450000
2367,270000
2368,1200000
2369,1300000
2370,499000
2371,519000
2372,165000
2373,570000
2374,450000
2375,770000
2376,608000
2377,860000
2378,350000
2379,425000
2380,324547
2381,530000
2382,280000
2383,580000
2384,510000
2385,1400000
2386,558000
2387,320000
2388,445000
2389,219000
2390,350000
2391,645000
